guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated,numprec,prdis
f0efe50b-ed1a-4b71-a040-f8e8f630815a,0.7322766942,0.3277134945,0.0977460084,0.2677233058,0.4045631997,0.2299674860999999,0.0977460084,Earthquake+Tsunami,165349.0,1968,W1,46049.603474239215,201.2166548787155,1.0,1.0,0.5577351930815267
1f630359-0a5f-4b0d-b7a2-76adf3d8f933,0.9591088223062678,0.7125056423380928,0.1825902752939364,0.0408911776937321,0.246603179968175,0.5299153670441563,0.1825902752939364,Earthquake+Tsunami,496894.0,2003,RC,245571.2997251824,381.9290081895312,,,
d0d2c16c-cd3d-49a3-92e3-4344abe97ed8,0.9565507145901454,0.6982421737671867,0.1764257370648044,0.0434492854098546,0.2583085408229587,0.5218164367023822,0.1764257370648044,Earthquake+Tsunami,220529.0,2003,RC,107185.31395367306,374.3930250904504,,,
9a3cedc3-7c51-4c2a-9af6-d8d5e9a5cea0,0.9464091181617704,0.6425774980509861,0.1582530710858261,0.0535908818382296,0.3038316201107842,0.4843244269651598,0.1582530710858261,Earthquake+Tsunami,157293.0,2003,RC,71752.0417704277,347.37311444266777,,,
0f6901be-ec61-427c-95fc-826237f070c4,0.9591088223062678,0.7125056423380928,0.1825902752939364,0.0408911776937321,0.246603179968175,0.5299153670441563,0.1825902752939364,Earthquake+Tsunami,464386.0,2003,RC,229505.4349502682,381.9290081895312,,,
28dfcd35-5e74-4bca-8456-fc7a8f80332a,0.9565507145901454,0.6982421737671867,0.1764257370648044,0.0434492854098546,0.2583085408229587,0.5218164367023822,0.1764257370648044,Earthquake+Tsunami,206102.0,2003,RC,100173.2542045714,374.3930250904504,,,
c634e139-861d-4e13-8791-c272057abd30,0.6696031201611249,0.2246988450729081,0.0660080009855153,0.3303968798388751,0.4449042750882167,0.1586908440873928,0.0660080009855153,Earthquake+Tsunami,140415.0,1976,W2,30512.082918757445,149.02479446791946,0.0,1.0,0.466808520436046
b47532ef-fd1d-4435-9b66-5a3635e7f347,0.9509776424703872,0.6674954088750965,0.1653454336213011,0.0490223575296127,0.2834822335952908,0.5021499752537953,0.1653454336213011,Earthquake+Tsunami,147003.0,2003,RC,68970.60802732439,359.0450545097656,,,
7cf6c1c7-edf7-4045-9917-771b8071e186,0.6528624524,0.2029376761,0.0483855347,0.3471375476,0.4499247762999999,0.1545521413999999,0.0483855347,Earthquake+Tsunami,185017.0,1974,W2,37007.967526612585,133.30971575678993,1.0,1.0,0.5021664868131885
45d2441c-35cf-4c0a-af17-27f9bcb64a49,0.9591088223062678,0.7125056423380928,0.1825902752939364,0.0408911776937321,0.246603179968175,0.5299153670441563,0.1825902752939364,Earthquake+Tsunami,434006.0,2004,RC,214491.25469119675,381.9290081895312,,,
26846753-ea00-4618-9341-69fd561ec519,0.7647300181375147,0.4501020420723118,0.18071865352518,0.2352699818624852,0.3146279760652029,0.2693833885471318,0.18071865352518,Earthquake+Tsunami,57326.0,2001,RC,20680.431206372992,278.85736850657145,,,
563d2590-31aa-4f04-a74a-1097c5a73004,0.6696031201611249,0.2246988450729081,0.0660080009855153,0.3303968798388751,0.4449042750882167,0.1586908440873928,0.0660080009855153,Earthquake+Tsunami,133292.0,1976,W2,28964.25991814989,149.02479446791946,0.0,3.0,0.5160041819344429
